symbol,price,beta,volAvg,mktCap,lastDiv,range,changes,companyName,currency,cik,isin,cusip,exchange,exchangeShortName,industry,website,description,ceo,sector,country,fullTimeEmployees,phone,address,city,state,zip,dcfDiff,dcf,image,ipoDate,defaultImage,isEtf,isActivelyTrading,isAdr,isFund
AAPL,242.65,1.24,48361368,3667848870000,0.99,164.08-242.755,3.06,Apple Inc.,USD,0000320193,US0378331005,037833100,NASDAQ Global Select,NASDAQ,Consumer Electronics,https://www.apple.com,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, and HomePod. It also provides AppleCare support and cloud services; and operates various platforms, including the App Store that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Fitness+, a personalized fitness service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It distributes third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1976 and is headquartered in Cupertino, California.",Mr. Timothy D. Cook,Technology,US,164000,408 996 1010,One Apple Park Way,Cupertino,CA,95014,87.06698,154.3580226796135,https://images.financialmodelingprep.com/symbol/AAPL.png,1980-12-12,False,False,True,False,False
ABALX,37.02,0.93,0,234602938354,0.675,31.01-37.01,0.01,American Funds American Balanced Fund Class A,USD,0000004568,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks conservation of capital, current income and long-term growth of capital and income.  The fund uses a balanced approach to invest in a broad range of securities, including common stocks and investment-grade bonds. It also invests in securities issued and guaranteed by the U.S. government and by federal agencies and instrumentalities. In addition, the fund may invest a portion of its assets in common stocks, most of which have a history of paying dividends, bonds and other securities of issuers domiciled outside the United States.",,Financial Services,US,,800-421-4225,American Balanced Fund Inc,,,,-45.26165,78.26165248596382,https://images.financialmodelingprep.com/symbol/ABALX.png,1986-01-02,True,False,True,False,True
ABNB,137.46,1.156,4377857,87177624107,0.0,110.38-170.1,-0.03,"Airbnb, Inc.",USD,0001559720,US0090661010,009066101,NASDAQ Global Select,NASDAQ,Travel Services,https://www.airbnb.com,"Airbnb, Inc., together with its subsidiaries, operates a platform that enables hosts to offer stays and experiences to guests worldwide. The company's marketplace model connects hosts and guests online or through mobile devices to book spaces and experiences. It primarily offers private rooms, primary homes, or vacation homes. The company was formerly known as AirBed & Breakfast, Inc. and changed its name to Airbnb, Inc. in November 2010. Airbnb, Inc. was founded in 2007 and is headquartered in San Francisco, California.",Mr. Brian  Chesky,Consumer Cyclical,US,6907,415 510 4027,888 Brannan Street,San Francisco,CA,94103,-9.79184,147.01683915600572,https://images.financialmodelingprep.com/symbol/ABNB.png,2020-12-10,False,False,True,False,False
ADBE,516.26,1.299,2944222,227257652000,0.0,433.97-638.25,0.06,Adobe Inc.,USD,0000796343,US00724F1012,00724F101,NASDAQ Global Select,NASDAQ,Software - Infrastructure,https://www.adobe.com,"Adobe Inc. operates as a diversified software company worldwide. It operates through three segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products, services, and solutions that enable individuals, teams, and enterprises to create, publish, and promote content; and Document Cloud, a unified cloud-based document services platform. Its flagship product is Creative Cloud, a subscription service that allows members to access its creative products. This segment serves content creators, workers, marketers, educators, enthusiasts, communicators, and consumers. The Digital Experience segment provides an integrated platform and set of applications and services that enable brands and businesses to create, manage, execute, measure, monetize, and optimize customer experiences from analytics to commerce. This segment serves marketers, advertisers, agencies, publishers, merchandisers, merchants, web analysts, data scientists, developers, and executives across the C-suite. The Publishing and Advertising segment offers products and services, such as e-learning solutions, technical document publishing, web conferencing, document and forms platform, web application development, and high-end printing, as well as Advertising Cloud offerings. The company offers its products and services directly to enterprise customers through its sales force and local field offices, as well as to end users through app stores and through its website at adobe.com. It also distributes products and services through a network of distributors, value-added resellers, systems integrators, software vendors and developers, retailers, and original equipment manufacturers. The company was formerly known as Adobe Systems Incorporated and changed its name to Adobe Inc. in October 2018. Adobe Inc. was founded in 1982 and is headquartered in San Jose, California.",Mr. Shantanu  Narayen,Technology,US,29945,408 536 6000,345 Park Avenue,San Jose,CA,95110-2704,55.836,458.5840970705368,https://images.financialmodelingprep.com/symbol/ADBE.png,1986-08-13,False,False,True,False,False
ADI,221.54,1.078,2873546,109949637380,3.68,179.63-244.14,-1.58,"Analog Devices, Inc.",USD,0000006281,US0326541051,032654105,NASDAQ Global Select,NASDAQ,Semiconductors,https://www.analog.com,"Analog Devices, Inc. designs, manufactures, tests, and markets integrated circuits (ICs), software, and subsystems that leverage analog, mixed-signal, and digital signal processing technologies. The company provides data converter products, which translate real-world analog signals into digital data, as well as translates digital data into analog signals; power management and reference products for power conversion, driver monitoring, sequencing, and energy management applications in the automotive, communications, industrial, and high-end consumer markets; and power ICs include performance, integration, and software design simulation tools for accurate power supply designs. It also offers high-performance amplifiers to condition analog signals; and radio frequency and microwave ICs to support cellular infrastructure; and microelectromechanical systems technology solutions, including accelerometers used to sense acceleration, gyroscopes for sense rotation, inertial measurement units to sense multiple degrees of freedom, and broadband switches for radio and instrument systems, as well as isolators. In addition, the company offers digital signal processing and system products for high-speed numeric calculations. It serves clients in the industrial, automotive, consumer, instrumentation, aerospace, and communications markets through a direct sales force, third-party distributors, and independent sales representatives in the United States, the rest of North and South America, Europe, Japan, China, and rest of Asia, as well as through its Website. Analog Devices, Inc. was incorporated in 1965 and is headquartered in Wilmington, Massachusetts.",Mr. Vincent T. Roche,Technology,US,26000,781 935 5565,One Analog Way,Wilmington,MA,01887,-1.81158,224.3926815626593,https://images.financialmodelingprep.com/symbol/ADI.png,1980-03-17,False,False,True,False,False
ADP,303.57,0.795,1597117,123691721490,6.16,227.12-309.63,-2.46,"Automatic Data Processing, Inc.",USD,0000008670,US0530151036,053015103,NASDAQ Global Select,NASDAQ,Staffing & Employment Services,https://www.adp.com,"Automatic Data Processing, Inc. provides cloud-based human capital management solutions worldwide. It operates in two segments, Employer Services and Professional Employer Organization (PEO). The Employer Services segment offers strategic, cloud-based platforms, and human resources (HR) outsourcing solutions. Its offerings include payroll, benefits administration, talent management, HR management, workforce management, insurance, retirement, and compliance services, as well as integrated HCM solutions. The PEO Services segment provides HR outsourcing solutions to small and mid-sized businesses through a co-employment model. This segment offers benefits package, protection and compliance, talent engagement, expertise, comprehensive outsourcing, and recruitment process outsourcing services. The company was founded in 1949 and is headquartered in Roseland, New Jersey.",Ms. Maria  Black,Industrials,US,64000,973 974 5000,One ADP Boulevard,Roseland,NJ,07068,49.14052,254.6594805208233,https://images.financialmodelingprep.com/symbol/ADP.png,1980-03-17,False,False,True,False,False
ADSK,298.96,1.474,1428533,64276400000,0.0,195.32-326.62,2.31,"Autodesk, Inc.",USD,0000769397,US0527691069,052769106,NASDAQ Global Select,NASDAQ,Software - Application,https://www.autodesk.com,"Autodesk, Inc. provides 3D design, engineering, and entertainment software and services worldwide. The company offers AutoCAD Civil 3D, a surveying, design, analysis, and documentation solution for civil engineering, including land development, transportation, and environmental projects; BIM 360, a construction management cloud-based software; AutoCAD, a software for professional design, drafting, detailing, and visualization; AutoCAD LT, a drafting and detailing software; computer-aided manufacturing (CAM) software for computer numeric control machining, inspection, and modelling for manufacturing; Fusion 360, a 3D CAD, CAM, and computer-aided engineering tool; and Industry Collections tools for professionals in architecture, engineering and construction, product design and manufacturing, and media and entertainment collection industries. It also provides Inventor tools for 3D mechanical design, simulation, analysis, tooling, visualization, and documentation; Vault, a data management software to manage data in one central location, accelerate design processes, and streamline internal/external collaboration; Maya and 3ds Max software products that offer 3D modeling, animation, effects, rendering, and compositing solutions; and ShotGrid, a cloud-based software for review and production tracking in the media and entertainment industry. It sells its products and services to customers directly, as well as through a network of resellers and distributors. Autodesk, Inc. was incorporated in 1982 and is headquartered in San Rafael, California.",Dr. Andrew  Anagnost Ph.D.,Technology,US,14100,415 507 5000,111 McInnis Parkway,San Rafael,CA,94903,100.71307,197.73003207581854,https://images.financialmodelingprep.com/symbol/ADSK.png,1985-06-28,False,False,True,False,False
AEGFX,58.52,1.05,0,134359876599,0.921,52.59-60.61,0.45,American Funds EuroPacific Growth Cl F-1 Shs,USD,0000719603,,,NASDAQ,NASDAQ,Asset Management,,The investment seeks long-term growth of capital.  The fund invests primarily in common stocks of issuers in Europe and the Pacific Basin that the investment adviser believes have the potential for growth. Growth stocks are stocks that the investment adviser believes have the potential for above-average capital appreciation. It normally will invest at least 80% of its net assets in securities of issuers in Europe and the Pacific Basin. The fund may invest a portion of its assets in common stocks and other securities of companies in emerging markets.,,Financial Services,,,800-421-4225,Europacific Growth Fund,,,,,0.0,https://images.financialmodelingprep.com/symbol/AEGFX.png,2001-03-15,True,False,True,False,True
AEP,97.02,0.539,2814947,51669456300,3.72,75.22-105.18,-1.2,"American Electric Power Company, Inc.",USD,0000004904,US0255371017,025537101,NASDAQ Global Select,NASDAQ,Regulated Electric,https://www.aep.com,"American Electric Power Company, Inc., an electric public utility holding company, engages in the generation, transmission, and distribution of electricity for sale to retail and wholesale customers in the United States. It operates through Vertically Integrated Utilities, Transmission and Distribution Utilities, AEP Transmission Holdco, and Generation & Marketing segments. The company generates electricity using coal and lignite, natural gas, nuclear, hydro, solar, wind, and other energy sources. It also supplies and markets electric power at wholesale to other electric utility companies, rural electric cooperatives, municipalities, and other market participants. American Electric Power Company, Inc. was incorporated in 1906 and is headquartered in Columbus, Ohio.",Mr. William J. Fehrman,Utilities,US,17250,614 716 1000,1 Riverside Plaza,Columbus,OH,43215-2373,84.84514,-0.0001412800758606795,https://images.financialmodelingprep.com/symbol/AEP.png,1962-01-02,False,False,True,False,False
AEPFX,58.75,1.05,0,134332758953,1.093,52.71-60.82,0.44,American Funds EuroPacific Growth Fund,USD,0000719603,,,NASDAQ,NASDAQ,Asset Management,www.americanfunds.com,The fund invests primarily in common stocks of issuers in Europe and the Pacific Basin that the investment adviser believes have the potential for growth. Growth stocks are stocks that the investment adviser believes have the potential for above-average capital appreciation. It normally will invest at least 80% of its net assets in securities of issuers in Europe and the Pacific Basin. The fund may invest a portion of its assets in common stocks and other securities of companies in emerging markets.,,Financial Services,US,,(213) 486-9200,"Los Angeles, CA 90071-1406",,,,,0.0,https://images.financialmodelingprep.com/symbol/AEPFX.png,2008-08-01,True,False,True,False,True
AEPGX,58.81,1.05,0,134331724772,0.941,52.84-60.92,0.44,American Funds EuroPacific Growth Fund Class A,USD,0000719603,,,NASDAQ,NASDAQ,Asset Management,,The fund invests primarily in common stocks of issuers in Europe and the Pacific Basin that the investment adviser believes have the potential for growth. Growth stocks are stocks that the investment adviser believes have the potential for above-average capital appreciation. It normally will invest at least 80% of its net assets in securities of issuers in Europe and the Pacific Basin. The fund may invest a portion of its assets in common stocks and other securities of companies in emerging markets.,,Financial Services,,,(213) 486-9200,"Los Angeles, CA 90071-1406",,,,,0.0,https://images.financialmodelingprep.com/symbol/AEPGX.png,1986-01-02,True,False,True,False,True
AFIFX,88.78,0.97,0,140481579263,0.792,69.83-88.83,0.09,"Fundamental Investors, Class F01 Shares",USD,0000039473,,,NASDAQ,NASDAQ,Asset Management,,The investment seeks long-term growth of capital and income.  The fund invests primarily in common stocks of companies that appear to offer superior opportunities for capital growth and most of which have a history of paying dividends. It may invest significantly in securities of issuers domiciled outside the United States. The investment adviser uses a system of multiple portfolio managers in managing the fund&#39;s assets.,,Financial Services,,,800-421-4225,Fundamental Investors Inc,,,,,0.0,https://images.financialmodelingprep.com/symbol/AFIFX.png,2001-03-15,True,False,True,False,True
AFMBX,37.02,0.93,0,234666327404,0.751,31.01-37.01,0.01,American Funds American Balanced Fund,USD,0000004568,,,NASDAQ,NASDAQ,Asset Management,,"The fund uses a balanced approach to invest in a broad range of securities, including common stocks and investment-grade bonds. It also invests in securities issued and guaranteed by the U.S. government and by federal agencies and instrumentalities. In addition, the fund may invest a portion of its assets in common stocks, most of which have a history of paying dividends, bonds and other securities of issuers domiciled outside the United States.",,Financial Services,,,415-421-9360,San Francisco CA 94105,,,,-45.47731,78.03731371170176,https://images.financialmodelingprep.com/symbol/AFMBX.png,2017-01-27,True,False,True,False,True
AGTHX,83.16,1.1,0,288955531252,0.37,61.53-82.99,0.17,American Funds The Growth Fund of America Class A,USD,0000044201,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks growth of capital.  The fund invests primarily in common stocks and seeks to invest in companies that appear to offer superior opportunities for growth of capital. It may invest up to 25% of its assets in securities of issuers domiciled outside the United States. The investment adviser uses a system of multiple portfolio managers in managing the fund&#39;s assets. Under this approach, the portfolio of the fund is divided into segments managed by individual managers.",,Financial Services,US,,800-421-4225,"The Growth Fund of America, Inc.",,,,,0.0,https://images.financialmodelingprep.com/symbol/AGTHX.png,1980-01-02,True,False,True,False,True
AICCX,62.27,0.92,0,151044923428,0.322,48.67-62.28,-0.01,American Funds Investment Co of America C,USD,0000051931,,,NASDAQ,NASDAQ,Asset Management,,"The fund invests primarily in common stocks, most of which have a history of paying dividends. It may invest up to 15% of its assets, at the time of purchase, outside the United States. Although the fund focuses on investments in medium to larger capitalization companies, the fund's investments are not limited to a particular capitalization size.",,Financial Services,,,,,,,,,0.0,https://images.financialmodelingprep.com/symbol/AICCX.png,2001-03-15,True,False,True,False,True
AICFX,63.02,0.92,0,151045212038,0.688,49.2-63.03,-0.01,American Funds Investment Co of America Cl F-1 Shs,USD,0000051931,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks long-term growth of capital and income.  The fund invests primarily in common stocks, most of which have a history of paying dividends. It may invest up to 15% of its assets, at the time of purchase, in securities of issuers domiciled outside the United States. Although the fund focuses on investments in medium to larger capitalization companies, the fund&#39;s investments are not limited to a particular capitalization size.",,Financial Services,,,800-421-4225,THE INVESTMENT COMPANY OF AMERICA,,,,,0.0,https://images.financialmodelingprep.com/symbol/AICFX.png,2001-03-15,True,False,True,False,True
AIVSX,63.25,0.92,0,151045299166,0.725,49.37-63.26,-0.01,American Funds Invmt Co of Amer A,USD,0000051931,,,NASDAQ,NASDAQ,Asset Management,,"The fund invests primarily in common stocks, most of which have a history of paying dividends. It may invest up to 15% of its assets, at the time of purchase, in securities of issuers domiciled outside the United States. Although the fund focuses on investments in medium to larger capitalization companies, the fund's investments are not limited to a particular capitalization size.",,Financial Services,,,(213) 486-9200,"Los Angeles, CA 90071-1406",,,,,0.0,https://images.financialmodelingprep.com/symbol/AIVSX.png,1986-01-02,True,False,True,False,True
AMAT,183.16,1.551,6538530,150997836640,1.52,144.57-255.89,-0.105,"Applied Materials, Inc.",USD,0000006951,US0382221051,038222105,NASDAQ Global Select,NASDAQ,Semiconductors,https://www.appliedmaterials.com,"Applied Materials, Inc. provides manufacturing equipment, services, and software to the semiconductor, display, and related industries. It operates through three segments: Semiconductor Systems, Applied Global Services, and Display and Adjacent Markets. The Semiconductor Systems segment develops, manufactures, and sells various manufacturing equipment that is used to fabricate semiconductor chips or integrated circuits. This segment also offers various technologies, including epitaxy, ion implantation, oxidation/nitridation, rapid thermal processing, physical vapor deposition, chemical vapor deposition, chemical mechanical planarization, electrochemical deposition, atomic layer deposition, etching, and selective deposition and removal, as well as metrology and inspection tools. The Applied Global Services segment provides integrated solutions to optimize equipment and fab performance and productivity comprising spares, upgrades, services, remanufactured earlier generation equipment, and factory automation software for semiconductor, display, and other products. The Display and Adjacent Markets segment offers products for manufacturing liquid crystal displays; organic light-emitting diodes; and other display technologies for TVs, monitors, laptops, personal computers, electronic tablets, smart phones, and other consumer-oriented devices. The company operates in the United States, China, Korea, Taiwan, Japan, Southeast Asia, and Europe. Applied Materials, Inc. was incorporated in 1967 and is headquartered in Santa Clara, California.",Mr. Gary E. Dickerson,Technology,US,35200,408 727 5555,3050 Bowers Avenue,Santa Clara,CA,95052-3299,36.70219,149.50281100696893,https://images.financialmodelingprep.com/symbol/AMAT.png,1980-03-17,False,False,True,False,False
AMBFX,37.0,0.93,0,234666361700,0.854,31.0-36.99,0.01,American Balanced Fund Class F-2 Shs,USD,0000004568,,,NASDAQ,NASDAQ,Asset Management,,"The fund uses a balanced approach to invest in a broad range of securities, including common stocks and investment-grade bonds. It also invests in securities issued and guaranteed by the U.S. government and by federal agencies and instrumentalities. In addition, the fund may invest a portion of its assets in common stocks, most of which have a history of paying dividends, bonds and other securities of issuers domiciled outside the United States.",,Financial Services,,,415-421-9360,San Francisco CA 94105,,,,,0.0,https://images.financialmodelingprep.com/symbol/AMBFX.png,2008-08-01,True,False,True,False,True
AMCPX,46.4,1.06,0,87931260899,0.123,36.82-46.29,0.11,American Funds AMCAP A,USD,0000004405,,,Nasdaq,NASDAQ,Asset Management,,"The fund invests primarily in common stocks of U.S. companies that have solid long-term growth records and the potential for good future growth. The basic investment philosophy of the investment adviser is to seek to invest in attractively valued companies that, in its opinion, represent good, long-term investment opportunities.",,Financial Services,,,213-486-9200,Los Angeles CA 90071,,,,,0.0,https://images.financialmodelingprep.com/symbol/AMCPX.png,1986-01-02,True,False,True,False,True
AMD,141.98,1.706,34337396,230406563800,0.0,116.38-227.3,-0.08,"Advanced Micro Devices, Inc.",USD,0000002488,US0079031078,007903107,NASDAQ Global Select,NASDAQ,Semiconductors,https://www.amd.com,"Advanced Micro Devices, Inc. operates as a semiconductor company worldwide. The company operates in two segments, Computing and Graphics; and Enterprise, Embedded and Semi-Custom. Its products include x86 microprocessors as an accelerated processing unit, chipsets, discrete and integrated graphics processing units (GPUs), data center and professional GPUs, and development services; and server and embedded processors, and semi-custom System-on-Chip (SoC) products, development services, and technology for game consoles. The company provides processors for desktop and notebook personal computers under the AMD Ryzen, AMD Ryzen PRO, Ryzen Threadripper, Ryzen Threadripper PRO, AMD Athlon, AMD Athlon PRO, AMD FX, AMD A-Series, and AMD PRO A-Series processors brands; discrete GPUs for desktop and notebook PCs under the AMD Radeon graphics, AMD Embedded Radeon graphics brands; and professional graphics products under the AMD Radeon Pro and AMD FirePro graphics brands. It also offers Radeon Instinct, Radeon PRO V-series, and AMD Instinct accelerators for servers; chipsets under the AMD trademark; microprocessors for servers under the AMD EPYC; embedded processor solutions under the AMD Athlon, AMD Geode, AMD Ryzen, AMD EPYC, AMD R-Series, and G-Series processors brands; and customer-specific solutions based on AMD CPU, GPU, and multi-media technologies, as well as semi-custom SoC products. It serves original equipment manufacturers, public cloud service providers, original design manufacturers, system integrators, independent distributors, online retailers, and add-in-board manufacturers through its direct sales force, independent distributors, and sales representatives. The company was incorporated in 1969 and is headquartered in Santa Clara, California.",Dr. Lisa T. Su Ph.D.,Technology,US,26000,408 749 4000,2485 Augustine Drive,Santa Clara,CA,95054,76.27431,65.8132871800909,https://images.financialmodelingprep.com/symbol/AMD.png,1980-03-17,False,False,True,False,False
AMECX,26.22,0.88,0,127252550485,0.857,22.63-26.28,-0.01,American Funds The Income Fund of America Class A,USD,0000050013,,,NASDAQ,NASDAQ,Asset Management - Income,,"The investment seeks to provide investors with current income while secondarily striving for capital growth.  Normally the fund invests primarily in income-producing securities. These include equity securities, such as dividend-paying common stocks, and debt securities, such as interest-paying bonds. Generally at least 60% of the fund&#39;s assets will be invested in common stocks and other equity-type securities. The fund may also invest up to 30% of its assets in equity securities of issuers domiciled outside the United States, including issuers in developing countries.",,Financial Services,US,,800-421-4225,"The Income Fund of America, Inc.",,,,-63.43692,86.7969238906456,https://images.financialmodelingprep.com/symbol/AMECX.png,1986-01-02,True,False,True,False,True
AMFCX,59.08,0.7,0,71688852359,0.703,49.17-59.43,-0.15,American Funds American Mutual Fund,USD,0000005506,,,NASDAQ,NASDAQ,Asset Management,,"The fund invests primarily in common stocks of companies that are likely to participate in the growth of the American economy and whose dividends appear to be sustainable. It invests primarily in securities of issuers domiciled in the United States and Canada. The fund may also invest in bonds and other debt securities, including those issued by the U.S. government and by federal agencies and instrumentalities.",,Financial Services,,,(213) 486-9200,"Los Angeles, CA 90071",,,,,0.0,https://images.financialmodelingprep.com/symbol/AMFCX.png,2001-03-15,True,False,True,False,True
AMFFX,59.89,0.7,0,72671723501,1.065,49.77-60.24,-0.15,American Funds American Mutual Fund Class F-1,USD,0000005506,,,NASDAQ,NASDAQ,Asset Management,,"The investment seeks current income, growth of capital and conservation of principal.  The fund invests primarily in common stocks of companies that are likely to participate in the growth of the American economy and whose dividends appear to be sustainable. It invests primarily in securities of issuers domiciled in the United States and Canada. The fund may also invest in bonds and other debt securities, including those issued by the U.S. government and by federal agencies and instrumentalities.",,Financial Services,,,800-421-4225,American Mutual Fund Inc,,,,-76.10314,136.14313577065644,https://images.financialmodelingprep.com/symbol/AMFFX.png,2001-03-15,True,False,True,False,True
